name,command
operationalcredentials,update-fabric-label
operationalcredentials,remove-fabric
operationalcredentials,add-trusted-root-certificate
operationalcredentials,read-by-id
operationalcredentials,read
operationalcredentials,write-by-id
operationalcredentials,force-write
operationalcredentials,subscribe-by-id
operationalcredentials,subscribe
operationalcredentials,read-event-by-id
operationalcredentials,subscribe-event-by-id
operationalstate,command-by-id
operationalstate,pause
operationalstate,stop
operationalstate,start
operationalstate,resume
operationalstate,read-by-id
operationalstate,read
operationalstate,write-by-id
operationalstate,force-write
operationalstate,subscribe-by-id
operationalstate,subscribe
operationalstate,read-event-by-id
operationalstate,read-event
operationalstate,subscribe-event-by-id
operationalstate,subscribe-event
otasoftwareupdateprovider,command-by-id
otasoftwareupdateprovider,query-image
otasoftwareupdateprovider,apply-update-request
otasoftwareupdateprovider,notify-update-applied
otasoftwareupdateprovider,read-by-id
otasoftwareupdateprovider,read
otasoftwareupdateprovider,write-by-id
otasoftwareupdateprovider,force-write
otasoftwareupdateprovider,subscribe-by-id
otasoftwareupdateprovider,subscribe
otasoftwareupdateprovider,read-event-by-id
otasoftwareupdateprovider,subscribe-event-by-id
otasoftwareupdaterequestor,command-by-id
otasoftwareupdaterequestor,announce-otaprovider
otasoftwareupdaterequestor,read-by-id
otasoftwareupdaterequestor,read
otasoftwareupdaterequestor,write-by-id
otasoftwareupdaterequestor,write
otasoftwareupdaterequestor,force-write
otasoftwareupdaterequestor,subscribe-by-id
otasoftwareupdaterequestor,subscribe
otasoftwareupdaterequestor,read-event-by-id
otasoftwareupdaterequestor,read-event
otasoftwareupdaterequestor,subscribe-event-by-id
otasoftwareupdaterequestor,subscribe-event
ovencavityoperationalstate,command-by-id
ovencavityoperationalstate,pause
ovencavityoperationalstate,stop
ovencavityoperationalstate,start
ovencavityoperationalstate,resume
ovencavityoperationalstate,read-by-id
ovencavityoperationalstate,read
ovencavityoperationalstate,write-by-id
ovencavityoperationalstate,force-write
ovencavityoperationalstate,subscribe-by-id
ovencavityoperationalstate,subscribe
ovencavityoperationalstate,read-event-by-id
ovencavityoperationalstate,read-event
ovencavityoperationalstate,subscribe-event-by-id
ovencavityoperationalstate,subscribe-event
ovenmode,command-by-id
ovenmode,change-to-mode
ovenmode,read-by-id
ovenmode,read
ovenmode,write-by-id
ovenmode,force-write
ovenmode,write
ovenmode,subscribe-by-id
ovenmode,subscribe
ovenmode,read-event-by-id
ovenmode,subscribe-event-by-id
ozoneconcentrationmeasurement,command-by-id
